"month","crime","count"
2002-11-01,"OBSCENITY",2
2002-11-01,"OFFENSE INVOLVING CHILDREN",204
2002-11-01,"OTHER OFFENSE",2462
2002-11-01,"PROSTITUTION",437
2002-11-01,"PUBLIC INDECENCY",1
2002-11-01,"PUBLIC PEACE VIOLATION",158
2002-11-01,"ROBBERY",1541
2002-11-01,"SEX OFFENSE",149
2002-11-01,"STALKING",22
2002-11-01,"THEFT",7906
2002-11-01,"WEAPONS VIOLATION",296
2002-12-01,"ARSON",81
2002-12-01,"ASSAULT",2052
2002-12-01,"BATTERY",6516
2002-12-01,"BURGLARY",2338
2002-12-01,"CRIM SEXUAL ASSAULT",126
2002-12-01,"CRIMINAL DAMAGE",4114
2002-12-01,"CRIMINAL TRESPASS",1151
2002-12-01,"DECEPTIVE PRACTICE",1096
2002-12-01,"GAMBLING",42
2002-12-01,"HOMICIDE",70
2002-12-01,"INTERFERENCE WITH PUBLIC OFFICER",22
2002-12-01,"INTIMIDATION",30
2002-12-01,"KIDNAPPING",52
2002-12-01,"LIQUOR LAW VIOLATION",115
2002-12-01,"MOTOR VEHICLE THEFT",1848
2002-12-01,"NARCOTICS",4380
2002-12-01,"OBSCENITY",1
2002-12-01,"OFFENSE INVOLVING CHILDREN",189
2002-12-01,"OTHER OFFENSE",2521
2002-12-01,"PROSTITUTION",464
